Date,Value
1988-01-31,46.9
1988-02-29,47.0
1988-03-31,47.2
1988-04-30,47.8
1988-05-31,48.0
1988-06-30,48.2
1988-07-31,48.2
1988-08-31,48.5
1988-09-30,48.7
1988-10-31,49.0
1988-11-30,49.3
1988-12-31,49.3
1989-01-31,49.5
1989-02-28,49.7
1989-03-31,50.0
1989-04-30,50.5
1989-05-31,50.9
1989-06-30,51.0
1989-07-31,51.0
1989-08-31,51.1
1989-09-30,51.5
1989-10-31,51.9
1989-11-30,52.1
1989-12-31,52.2
1990-01-31,52.4
1990-02-28,52.9
1990-03-31,53.1
1990-04-30,54.4
1990-05-31,55.0
1990-06-30,55.2
1990-07-31,55.2
1990-08-31,55.7
1990-09-30,56.2
1990-10-31,56.7
1990-11-30,56.9
1990-12-31,57.0
1991-01-31,57.0
1991-02-28,57.2
1991-03-31,57.5
1991-04-30,58.7
1991-05-31,59.2
1991-06-30,59.5
1991-07-31,59.3
1991-08-31,59.9
1991-09-30,60.1
1991-10-31,60.4
1991-11-30,60.5
1991-12-31,60.7
1992-01-31,60.5
1992-02-29,60.8
1992-03-31,61.1
1992-04-30,61.8
1992-05-31,62.2
1992-06-30,62.2
1992-07-31,62.0
1992-08-31,62.1
1992-09-30,62.3
1992-10-31,62.5
1992-11-30,62.5
1992-12-31,62.6
1993-01-31,62.4
1993-02-28,62.7
1993-03-31,63.0
1993-04-30,63.4
1993-05-31,63.6
1993-06-30,63.6
1993-07-31,63.4
1993-08-31,63.7
1993-09-30,64.0
1993-10-31,64.0
1993-11-30,63.8
1993-12-31,64.0
1994-01-31,64.0
1994-02-28,64.2
1994-03-31,64.4
1994-04-30,64.9
1994-05-31,65.1
1994-06-30,65.1
1994-07-31,64.7
1994-08-31,65.1
1994-09-30,65.2
1994-10-31,65.1
1994-11-30,65.2
1994-12-31,65.5
1995-01-31,65.5
1995-02-28,65.7
1995-03-31,66.0
1995-04-30,66.4
1995-05-31,66.7
1995-06-30,66.8
1995-07-31,66.6
1995-08-31,66.9
1995-09-30,67.2
1995-10-31,67.1
1995-11-30,67.1
1995-12-31,67.5
1996-01-31,67.4
1996-02-29,67.7
1996-03-31,67.9
1996-04-30,68.3
1996-05-31,68.6
1996-06-30,68.7
1996-07-31,68.3
1996-08-31,68.7
1996-09-30,69.0
1996-10-31,69.1
1996-11-30,69.2
1996-12-31,69.4
1997-01-31,69.2
1997-02-28,69.3
1997-03-31,69.4
1997-04-30,69.7
1997-05-31,70.0
1997-06-30,70.1
1997-07-31,70.0
1997-08-31,70.3
1997-09-30,70.5
1997-10-31,70.6
1997-11-30,70.6
1997-12-31,70.7
1998-01-31,70.4
1998-02-28,70.6
1998-03-31,70.8
